BIN,BOROUGH,ZIP,HOUSE_NUM,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,TANK_NUM,INSPECTION_BY_FIRM,INSPECTION_PERFORMED,INSPECTION_DATE,GI_REQ_INTERNAL_STRUCTURE,GI_RESULT_INTERNAL_STRUCTURE,GI_REQ_EXTERNAL_STRUCTURE,GI_RESULT_EXTERNAL_STRUCTURE,GI_REQ_OVERFLOW_PIPES,GI_RESULT_OVERFLOW_PIPES,GI_REQ_ACCESS_LADDERS,GI_RESULT_ACCESS_LADDERS,GI_REQ_AIR_VENTS,GI_RESULT_AIR_VENTS,GI_REQ_ROOF_ACCESS,GI_RESULT_ROOF_ACCESS,SI_REQ_SEDIMENT,SI_RESULT_SEDIMENT,SI_REQ_BIOLOGICAL_GROWTH,SI_RESULT_BIOLOGICAL_GROWTH,SI_REQ_DEBRIS_INSECTS,SI_RESULT_DEBRIS_INSECTS,SI_REQ_RODENT_BIRD,SI_RESULT_RODENT_BIRD,SAMPLE_COLLECTED,LAB_NAME,NYS_CERTIFIED,ANALYTES,COLIFORM,ECOLI,MEET_STANDARDS,DELETED,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BBL,NTA,BATCH_DATE
1035356,MANHATTAN,10017,3,EAST 43 STREET,1278,8,WTI5834836183,2020,1,ISSEKS BROS INC,Y,7/17/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ENVIRONMENTAL BUILDING SOLUTIONS LLC,Y,B,A,A,,No,40.754014,-73.980033,5,4,94,1012780008,Midtown-Midtown South,12/20/2024 12:15
3022136,BROOKLYN,11215,359,Ninth Street,1005,7502,WTI0299865381,2023,1,American Pipe and Tank,Y,10/3/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ebs,Y,B,A,A,,No,40.668403,-73.984694,6,39,137,3010057502,Park Slope-Gowanus,12/20/2024 12:15
1020335,MANHATTAN,10016,207-215,East 37 Street,918,7,WTI0978955867,2020,2,American Pipe and Tank,Y,12/10/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EBS,Y,B,A,A,,No,40.747473,-73.97635,6,4,78,1009180007,Murray Hill-Kips Bay,12/20/2024 12:15
1015732,MANHATTAN,10001,260,FIFTH AVENUE,830,42,WTI6302833855,2020,1,ISSEKS BROS INC,Y,11/4/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ENVIRONMENTAL BUILDING SOLUTIONS LLC,Y,B,A,A,,No,40.745037,-73.987048,5,4,76,1008300042,Midtown-Midtown South,12/20/2024 12:15
1034199,MANHATTAN,10110,500,Fifth Avenue,1258,34,WTI2599759377,2023,1,"Atlantank, LLC",Y,9/23/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Atlas Environmental Lab,Y,B,A,A,,No,40.753543,-73.980856,5,4,96,1012580034,Midtown-Midtown South,12/20/2024 12:15
1036787,MANHATTAN,10022,150,EAST 56 STREET,1310,7503,WTI8171440576,2021,1,ISSEKS BROS INC,Y,9/22/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ENVIRONMENTAL BUILDING SOLUTIONS LLC,Y,B,A,A,,No,40.760048,-73.969166,6,4,100,1013107503,Turtle Bay-East Midtown,12/20/2024 12:15
2002809,BRONX,10451,930,GRAND CONCOURSE,2461,7,WTI5464244618,2024,1,ISSEKS BROS INC,Y,5/23/2024,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Environmental Building Solutions LLC,Y,B,A,A,,No,40.828347,-73.921838,4,16,18301,2024610007,East Concourse-Concourse Village,12/20/2024 12:15
1085803,MANHATTAN,10036,1,River Place,1089,1,WTI5585268802,2023,2,American Pipe and Tank,Y,9/28/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ebs,Y,B,A,A,,No,40.761614,-74.00022,4,3,117,1010890001,Hudson Yards-Chelsea-Flatiron-Union Square,12/20/2024 12:15
1076175,MANHATTAN,10019,1325,6th Avenue,1006,13,WTI4887741127,2023,1,"Atlantank, LLC",Y,3/4/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Atlas Environmental,Y,B,A,A,,No,40.761999,-73.978901,5,4,131,1010060013,Midtown-Midtown South,12/20/2024 12:15
1022565,MANHATTAN,10018,111,West 40 Street,993,29,WTI0591046452,2020,1,American Pipe and Tank,Y,4/11/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EBS,Y,B,A,A,,No,40.753842,-73.985711,5,4,113,1009930029,Midtown-Midtown South,12/20/2024 12:15
2012955,BRONX,10460,800-820,EAST 180TH STREET,3108,8,WTI4883169813,2021,1,"ISSEKS BROS., INC.",Y,2/9/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,"ENVIRONMENTAL BUILDING SOLUTIONS, LLC",Y,B,A,A,,No,40.846454,-73.885438,6,15,36501,2031080008,East Tremont,12/20/2024 12:15
1008214,MANHATTAN,10012,640,BROADWAY,522,7502,WTI9053798397,2021,1,ISSEKS BROS INC,Y,12/15/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ENVIRONMENTAL BUILDING SOLUTIONS LLC,Y,B,A,A,,No,40.726327,-73.996002,2,1,5502,1005227502,West Village,12/20/2024 12:15
2128824,BRONX,10475,120,Erskine Place,5135,51,WTI5688672399,2020,1,Rosenwach Tank Co. LLC,Y,7/31/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL Analytical,Y,B,A,A,Y,No,40.861339,-73.82147,10,12,302,2051350051,Co-op City,12/20/2024 12:15
1089741,MANHATTAN,10019,675,W. 59th Street,1171,155,WTI2236314552,2021,1,Nalco Company,Y,8/2/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.772537,-73.992613,7,6,151,1011717512,Lincoln Square,12/20/2024 12:15
3000261,BROOKLYN,11201,375,Pearl Street,140,106,WTI2260028408,2021,1,Nalco Company,Y,12/4/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.692868,-73.988154,2,33,11,3001400106,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,12/20/2024 12:15
1071617,MANHATTAN,10017,240,EAST   46 STREET,1319,7501,WTI6137540573,2020,1,Rosenwach Tank Co. LLC,Y,6/25/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL Analytical,Y,B,A,A,Y,No,40.752901,-73.971613,6,4,90,1013197501,Turtle Bay-East Midtown,12/20/2024 12:15
1020613,MANHATTAN,10016,485,1 AVENUE,934,24,WTI9496762716,2020,1,Rosenwach Tank Co. LLC,Y,5/27/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL Analytical,Y,B,A,A,Y,No,40.740389,-73.975999,6,2,66,1009340024,Murray Hill-Kips Bay,12/20/2024 12:15
1015036,MANHATTAN,10001,135,West 26th street,802,19,WTI0496524462,2020,1,international wood tanks,Y,8/5/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,metro group,Y,B,A,A,,No,40.745293,-73.992555,5,3,95,1008020019,Midtown-Midtown South,12/20/2024 12:15
1015744,MANHATTAN,10001,50,West 29th Street,830,74,WTI2576933464,2022,1,Rosenwach Tank Co. LLC,Y,7/13/2022,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.746259,-73.989144,5,3,76,1008300074,Midtown-Midtown South,12/20/2024 12:15
